"2. Questions on American History";"4. Colonial Period and Independence";"What group of people was taken and sold as slaves?";"- Africans
- People from Africa"
"2. Questions on American History";"4. Colonial Period and Independence";"Who lived in America before the Europeans arrived?";"- American Indians
- Native Americans"
"2. Questions on American History";"4. Colonial Period and Independence";"The colonists came to America for many reasons. Name one.";"- Freedom
- Political liberty
- Religious freedom
- Economic opportunity
- Escape persecution"
"2. Questions on American History";"4. Colonial Period and Independence";"The American Revolution had many important events. Name one.";"- (Battle of) Bunker Hill
- Declaration of Independence
- Washington Crossing the Delaware (Battle of Trenton)
- (Battle of) Saratoga
- Valley Forge (Encampment)
- (Battle of) Yorktown (British surrender at Yorktown)"
"2. Questions on American History";"5. 1800s";"What did the Emancipation Proclamation do?";"- Freed the slaves
- Freed slaves in the Confederacy
- Freed slaves in the Confederate states
- Freed slaves in most Southern states"
"2. Questions on American History";"5. 1800s";"What U.S. war ended slavery?";"The Civil War"
"2. Questions on American History";"5. 1800s";"Name one leader of the women's rights movement in the 1800s.";"- Susan B. Anthony
- Elizabeth Cady Stanton
- Sojourner Truth
- Harriet Tubman
- Lucretia Mott
- Lucy Stone"
"2. Questions on American History";"5. 1800s";"What amendment says all persons born or naturalized in the United States, and subject to the jurisdiction thereof, are U.S. citizens?";"14th Amendment"
"2. Questions on American History";"5. 1800s";"The Civil War had many important events. Name one.";"- (Battle of) Fort Sumter
- Emancipation Proclamation
- (Battle of) Vicksburg
- (Battle of) Gettysburg
- Sherman's March
- (Surrender at) Appomattox
- (Battle of) Antietam/Sharpsburg
- Lincoln was assassinated."
"2. Questions on American History";"5. 1800s";"Name the U.S. war between the North and the South.";"The Civil War"
"2. Questions on American History";"5. 1800s";"Name one war fought by the United States in the 1800s.";"- War of 1812
- Mexican-American War
- Civil War
- Spanish-American War"
"2. Questions on American History";"5. 1800s";"What territory did the United States buy from France in 1803?";"- Louisiana Territory
- Louisiana"
"2. Questions on American History";"5. 1800s";"When did all men get the right to vote?";"- After the Civil War
- During Reconstruction
- (With the) 15th Amendment
- 1870"
"2. Questions on American History";"5. 1800s";"Abraham Lincoln is famous for many things. Name one.";"- Freed the slaves (Emancipation Proclamation)
- Saved (or preserved) the Union
- Led the United States during the Civil War
- 16th president of the United States
- Delivered the Gettysburg Address"
"2. Questions on American History";"6. Recent American History";"Why did the United States enter the Korean War?";"To stop the spread of communism"
"2. Questions on American History";"6. Recent American History";"Name one example of an American innovation.";"- Light bulb
- Automobile (cars, internal combustion engine)
- Skyscrapers
- Airplane
- Assembly line
- Landing on the moon
- Integrated circuit (IC)"
"2. Questions on American History";"6. Recent American History";"Name one American Indian tribe in the United States.";"- Apache
- Blackfeet
- Cayuga
- Cherokee
- Cheyenne
- Chippewa
- Choctaw
- Creek
- Crow
- Hopi
- Huron
- Inupiat
- Lakota
- Mohawk
- Mohegan
- Navajo
- Oneida
- Onondaga
- Pueblo
- Seminole
- Seneca
- Shawnee
- Sioux
- Teton
- Tuscarora"
"2. Questions on American History";"6. Recent American History";"Name one U.S. military conflict after the September 11, 2001 attacks.";"- (Global) War on Terror
- War in Afghanistan
- War in Iraq"
"2. Questions on American History";"6. Recent American History";"What major event happened on September 11, 2001 in the United States?";"- Terrorists attacked the United States
- Terrorists took over two planes and crashed them into the World Trade Center in New York City
- Terrorists took over a plane and crashed into the Pentagon in Arlington, Virginia
- Terrorists took over a plane originall"
"2. Questions on American History";"6. Recent American History";"Why did the United States enter the Persian Gulf War?";"To force the Iraqi military from Kuwait"
"2. Questions on American History";"6. Recent American History";"Martin Luther King, Jr. is famous for many things. Name one.";"- Fought for civil rights
- Worked for equality for all Americans
- Worked to ensure that people would not be judged by the color of their skin, but by the content of their character"
"2. Questions on American History";"6. Recent American History";"Why did the United States enter the Vietnam War?";"To stop the spread of communism"
"2. Questions on American History";"6. Recent American History";"During the Cold War, what was one main concern of the United States?";"- Communism
- Nuclear war"
"2. Questions on American History";"6. Recent American History";"Dwight Eisenhower is famous for many things. Name one.";"- General during World War II
- President at the end of (during) the Korean War
- 34th president of the United States
- Signed the Federal-Aid Highway Act of 1956 (Created the Interstate System)"
"2. Questions on American History";"6. Recent American History";"Why did the United States enter World War II?";"- (Bombing of) Pearl Harbor
- Japanese attacked Pearl Harbor
- To support the Allied Powers (England, France, and Russia)
- To oppose the Axis Powers (Germany, Italy, and Japan)"
"2. Questions on American History";"6. Recent American History";"Who was president during the Great Depression and World War II?";"(Franklin) Roosevelt"
"2. Questions on American History";"6. Recent American History";"When did the Great Depression start?";"- The Great Crash (1929)
- Stock market crash of 1929"
"2. Questions on American History";"6. Recent American History";"What was the Great Depression?";"Longest economic recession in modern history"
"2. Questions on American History";"6. Recent American History";"When did all women get the right to vote?";"- 1920
- After World War I
- (With the) 19th Amendment"
"2. Questions on American History";"6. Recent American History";"Why did the United States enter World War I?";"- Because Germany attacked U.S. (civilian) ships
- To support the Allied Powers (England, France, Italy, and Russia)
- To oppose the Central Powers (Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria)"
"2. Questions on American History";"6. Recent American History";"Name one war fought by the United States in the 1900s.";"- World War I
- World War II
- Korean War
- Vietnam War
- (Persian) Gulf War"
"2. Questions on American History";"6. Recent American History";"Who was the United States' main rival during the Cold War?";"- Soviet Union
- USSR
- Russia"
"2. Questions on American History";"6. Recent American History";"What did the civil rights movement do?";"Fought to end racial discrimination"
"3. Questions on Symbols and Holidays";"7. Symbols";"What is the capital of the United States?";"Washington, D.C."
"3. Questions on Symbols and Holidays";"7. Symbols";"The Nation's first motto was ""E Pluribus Unum."" What does that mean?";"- Out of many, one
- We all become one"
"3. Questions on Symbols and Holidays";"7. Symbols";"What is the name of the national anthem?";"- The Star-Spangled Banner"
"3. Questions on Symbols and Holidays";"7. Symbols";"Why does the flag have 50 stars?";"- (Because there is) one star for each state
- (Because) each star represents a state
- (Because there are) 50 states"
"3. Questions on Symbols and Holidays";"7. Symbols";"Why does the flag have 13 stripes?";"- (Because there were) 13 original colonies
- (Because the stripes) represent the original colonies"
"3. Questions on Symbols and Holidays";"7. Symbols";"Where is the Statue of Liberty?";"- New York (Harbor)
- Liberty Island
- New Jersey
- near New York City
- on the Hudson (River)"
"3. Questions on Symbols and Holidays";"8. Holidays";"What is Independence Day?";"- A holiday to celebrate U.S. independence (from Britain)
- The country's birthday"
"3. Questions on Symbols and Holidays";"8. Holidays";"Name three national U.S. holidays.";"- New Year's Day
- Martin Luther King, Jr. Day
- Presidents Day (Washington's Birthday)
- Memorial Day
- Juneteenth
- Independence Day
- Labor Day
- Columbus Day
- Veterans Day
- Thanksgiving Day
- Christmas Day"
"3. Questions on Symbols and Holidays";"8. Holidays";"What is Memorial Day?";"A holiday to honor soldiers who died in military service"
"3. Questions on Symbols and Holidays";"8. Holidays";"What is Veterans Day?";"- A holiday to honor people in the (U.S.) military
- A holiday to honor people who have served (in the U.S.) military"
