id_number;section;sub_section;question;answer;short_answer
11;Part 9;Military and Armed Groups;Have you EVER sold, provided, or transported weapons that you knew would be used against another person?;This question addresses arms trafficking and the illegal supply of weapons. If you ever sold, gave, or moved weapons — guns, explosives, or other armaments — knowing or believing they would be used to harm people, you must answer Yes. This applies to transactions in any country.;
12;Part 9;Military and Armed Groups;Have you EVER received any weapons training, paramilitary training, or other military-type training?;This includes any formal or informal training in the use of weapons, combat tactics, explosives, guerrilla warfare, or military operations — outside of U.S. armed forces service. It covers training received in any country, from any organization, whether government-sponsored or not. Training received for legitimate law enforcement purposes may still need to be disclosed.;
13;Part 9;Military and Armed Groups;Have you EVER recruited, enlisted, or used any person under 15 years of age to serve in or help an armed group?;The use of child soldiers is a serious human rights violation under international law. This question asks whether you ever recruited, forced, or allowed children under 15 to participate in armed conflict or support an armed group in any way. Even indirect involvement — such as helping recruit child soldiers — must be disclosed.;
14;Part 9;Military and Armed Groups;Have you EVER used any person under 15 years of age to take part in hostilities or combat-related activities?;Related to question 13, this asks specifically whether you used children under 15 to participate in combat — including fighting, acting as messengers, transporting supplies for armed groups, or any other combat-support role. This is considered a war crime under international law and must be disclosed.;
15a;Part 9;Criminal Records;Have you EVER committed, agreed to commit, or tried to commit a crime or offense for which you were NOT arrested?;This is one of the most important questions on the form. USCIS asks you to disclose crimes you committed even if you were never caught, arrested, or charged. This includes minor offenses as well as serious crimes. Being honest here is critical — if USCIS later discovers undisclosed information, it can result in denial of your application or even deportation.;
15b;Part 9;Criminal Records;Have you EVER been arrested, cited, detained, or charged with a crime or offense?;You must disclose every arrest, citation, detention, or criminal charge — even if the charges were dropped, you were found not guilty, the record was sealed or expunged, or a judge told you that you did not need to disclose it. USCIS has access to criminal databases and expects full transparency. Failure to disclose can be treated as misrepresentation.;
16;Part 9;Criminal Records;If you received a suspended sentence, were placed on probation, or were paroled, have you completed your suspended sentence, probation, or parole?;If you were convicted of a crime but given a suspended sentence, probation, or were released on parole, USCIS wants to confirm that you have fully completed those terms. If you are still under any of these conditions, you must answer No. Completing all terms of a sentence is generally required before applying for naturalization.;
17a;Part 9;Additional Background;Have you EVER engaged in prostitution or received money from prostitution?;This question covers involvement in commercial sex work — either as a participant, organizer, importer of persons for prostitution, or recipient of income from such activity. A Yes answer does not automatically disqualify you, but USCIS will review the circumstances carefully, particularly regarding exploitation of others.;
17b;Part 9;Additional Background;Have you EVER manufactured, sold, distributed, or trafficked any controlled substances or illegal drugs?;This covers any illegal activity related to controlled substances — including manufacturing, growing, selling, distributing, or smuggling drugs or drug paraphernalia. This applies to violations of laws in the United States or any other country. Even a single incident must be disclosed.;
17c;Part 9;Additional Background;Have you EVER been married to more than one person at the same time?;Polygamy — being legally married to more than one person simultaneously — is illegal in the United States. This question asks whether you have been in such a situation at any time, anywhere in the world. Note that sequential marriages (marrying after a divorce or death of a spouse) are not polygamy and do not need to be disclosed here.;
17d;Part 9;Additional Background;Have you EVER married someone in order to obtain an immigration benefit?;Marriage fraud — entering into a marriage primarily for the purpose of obtaining a visa, green card, or other immigration benefit — is a federal crime. If your marriage was not a genuine relationship but rather a legal arrangement to gain immigration status, you must answer Yes. USCIS takes this very seriously.;
17e;Part 9;Additional Background;Have you EVER helped anyone enter, or try to enter, the United States illegally?;Smuggling or assisting undocumented individuals to enter the U.S. — whether for money or as a favor — is a violation of immigration law. This includes helping someone cross the border illegally, providing false documents, or organizing travel for undocumented persons. Even helping a family member can constitute a violation.;
17f;Part 9;Additional Background;Have you EVER gambled illegally or received income from illegal gambling?;This asks about participation in gambling activities that were prohibited by law — such as unlicensed betting operations, illegal poker games, or online gambling in jurisdictions where it is banned. It also includes receiving income derived from illegal gambling operations, even if you were not the organizer.;
17g;Part 9;Additional Background;Have you EVER failed to support your dependents or failed to pay alimony?;If you have children or other dependents, you are legally required to support them financially. Similarly, if a court ordered you to pay alimony to a former spouse, you must comply. USCIS views failure to meet these obligations as evidence of poor moral character, which is a requirement for naturalization.;
17h;Part 9;Additional Background;Have you EVER made any misrepresentation to obtain any public benefit in the United States?;This covers situations where you provided false information — about your income, household composition, citizenship status, or other facts — in order to receive government benefits such as Medicaid, food stamps, housing assistance, or other public programs. Misrepresenting facts to obtain benefits is fraud and must be disclosed.;
18;Part 9;Additional Background;Have you EVER given any U.S. Government officials any information or documentation that was false, fraudulent, or misleading?;This question covers any instance where you provided false or misleading information to a U.S. government agency — including USCIS, the State Department, the IRS, or any other federal agency. This includes visa applications, immigration interviews, tax forms, and any other official government documents or communications.;
19;Part 9;Additional Background;Have you EVER lied to any U.S. Government officials to gain entry or admission into the United States or to gain immigration benefits?;This specifically addresses misrepresentation at the border or during the immigration process. If you ever told a customs officer, consular officer, or immigration officer something false in order to be allowed to enter the U.S. or to obtain a visa, green card, or other immigration benefit, you must disclose it here. This is a ground of inadmissibility.;
20;Part 9;Removal and Deportation;Have you EVER been placed in removal, rescission, or deportation proceedings?;If USCIS or an immigration judge has ever initiated formal legal proceedings to remove you from the United States — even if those proceedings were cancelled, you won your case, or you voluntarily departed — you must answer Yes. This includes any Notice to Appear (NTA) issued against you.;
21;Part 9;Removal and Deportation;Have you EVER been removed or deported from the United States?;If you were ever formally deported or removed from the United States by an immigration officer or immigration judge, you must answer Yes. This includes voluntary departures under an order of removal. Being removed from the U.S. can affect your eligibility for naturalization and will be carefully reviewed by USCIS.;
22a;Part 9;Selective Service;Are you a male who lived in the United States at any time between your 18th and 26th birthdays?;U.S. federal law requires most males who are U.S. citizens or immigrants to register with the Selective Service System between the ages of 18 and 25. The Selective Service is a registry used in case the U.S. government needs to conduct a military draft. This question identifies men who may have been required to register.;
22b;Part 9;Selective Service;If yes to 22a, did you register for the Selective Service?;If you were required to register with the Selective Service (based on your answer to 22a), this question asks whether you actually did so. Failure to register when required can affect your eligibility for naturalization and certain federal benefits. If you did not register and are now over 26, you should consult an immigration attorney.;
23;Part 9;Selective Service;Have you EVER left the United States to avoid being drafted in the U.S. armed forces?;Draft evasion — leaving the country specifically to avoid mandatory military service — is a serious offense. If you ever departed the United States with the intent to avoid a draft or military call-up, you must answer Yes. This is distinct from normal travel abroad and applies only if avoiding military service was a reason for your departure.;
24;Part 9;Selective Service;Have you EVER applied for any kind of exemption from military service in the U.S. armed forces?;Some individuals apply for exemptions from military service based on religious beliefs, conscientious objector status, medical conditions, or other grounds. If you ever filed such an application — whether it was granted or denied — you must disclose it here. This does not automatically disqualify you from naturalization.;
25;Part 9;Military Background;Have you EVER served in the U.S. armed forces?;This question asks whether you have ever been a member of any branch of the United States military — the Army, Navy, Marine Corps, Air Force, Space Force, or Coast Guard — including active duty, reserves, or National Guard service. Honorable service in the U.S. military can actually expedite the naturalization process.;
26a;Part 9;Military Background;Are you currently a member of the U.S. armed forces?;This asks about your current military status. If you are on active duty, in the reserves, or in the National Guard at the time you are filing Form N-400, you should answer Yes. Active-duty service members may be eligible for special naturalization procedures and may not need to meet the standard residency requirements.;
26b;Part 9;Military Background;If currently serving, are you scheduled to deploy outside the United States within the next 3 months?;This question helps USCIS determine your availability for the naturalization interview and ceremony. If you are about to be deployed, your application may be processed differently — for example, through military naturalization procedures that allow the oath to be administered overseas.;
26c;Part 9;Military Background;If currently serving, are you currently stationed outside the United States?;If you are stationed abroad as part of your military service, USCIS needs to know this to process your application correctly. Service members stationed outside the U.S. may be able to complete the naturalization process through special military channels at their overseas location.;
26d;Part 9;Military Background;If not currently serving, are you a former U.S. military member currently residing outside the U.S.?;This question applies to veterans who have completed their military service but are now living outside the United States. Former service members residing abroad may have specific rights and procedures available for naturalization. USCIS uses this information to route your application to the appropriate process.;
27;Part 9;Military Background;Have you EVER been court-martialed or received a discharge other than honorable from the U.S. armed forces?;A court-martial is a military criminal trial. A discharge other than honorable — such as a Bad Conduct Discharge or Dishonorable Discharge — indicates serious disciplinary issues during military service. Either of these may affect your eligibility for naturalization and must be disclosed. An honorable or general discharge does not need to be reported here.;
28;Part 9;Military Background;Have you EVER been discharged from training or service in the U.S. armed forces because you were an alien?;In some cases, non-citizens who enlisted in the U.S. military were later discharged specifically because of their alien status. If this happened to you, you must disclose it. This is distinct from other types of discharge and has its own implications for naturalization eligibility.;
29;Part 9;Military Background;Have you EVER deserted from the U.S. armed forces?;Desertion — leaving military service without authorization and with the intent to remain away permanently — is a serious military offense. If you ever abandoned your post or went AWOL (Absent Without Leave) and were formally classified as a deserter, you must answer Yes. Desertion can be a bar to naturalization.;
30a;Part 9;Oath of Allegiance;Do you now have, or did you EVER have, a hereditary title or an order of nobility in any foreign country?;Some countries have formal systems of nobility, such as titles like Duke, Count, Baron, or Sir. If you hold or have ever held such a title — whether inherited or granted — you must disclose it. The U.S. Constitution prohibits federal officers from accepting foreign titles, and naturalization requires that you renounce any such titles.;
30b;Part 9;Oath of Allegiance;If yes to 30a, are you willing to give up any inherited titles or orders of nobility at your naturalization ceremony?;If you hold a foreign noble title, you must be willing to formally renounce it as part of your Oath of Allegiance. This is a requirement of U.S. naturalization. If you are unwilling to give up your title, you cannot be naturalized as a U.S. citizen.;
31;Part 9;Oath of Allegiance;Do you support the Constitution and form of Government of the United States?;This is a foundational requirement for naturalization. You must genuinely support the principles of the U.S. Constitution — including democratic governance, separation of powers, individual rights, and the rule of law. Answering No would disqualify you from naturalization, as support for the U.S. system of government is required by law.;
32;Part 9;Oath of Allegiance;Do you understand the full Oath of Allegiance to the United States?;Before taking the Oath of Allegiance, USCIS wants to ensure that you fully understand what you are promising. The Oath involves renouncing allegiance to foreign governments, supporting and defending the U.S. Constitution, and being willing to serve the country when required by law. You should read and understand the full oath before your interview.;
33;Part 9;Oath of Allegiance;Are you unable to take the Oath of Allegiance because of a physical or developmental disability or mental impairment?;USCIS makes accommodations for applicants who are unable to take or understand the Oath due to a qualifying disability. If you answer Yes, you should skip questions 34-37 and review the instructions about legal guardians or designated representatives who may act on your behalf during the naturalization process.;
34;Part 9;Oath of Allegiance;Are you willing to take the full Oath of Allegiance to the United States?;This question asks for your direct confirmation that you are prepared to take the Oath of Allegiance. Taking the oath is the final and most important step in becoming a U.S. citizen. If you have any reservations about any part of the oath — particularly about bearing arms or performing military service — you should review the following questions carefully.;
35;Part 9;Oath of Allegiance;If the law requires it, are you willing to bear arms (carry weapons) on behalf of the United States?;As part of the Oath of Allegiance, you promise to be willing to serve in the U.S. armed forces and carry weapons in defense of the country if required by law. Some applicants — such as conscientious objectors with sincere religious beliefs — may be able to take a modified oath that omits this commitment. If this applies to you, consult the instructions.;
36;Part 9;Oath of Allegiance;If the law requires it, are you willing to perform noncombatant services (non-fighting) in the U.S. armed forces?;Even if you are not willing or able to bear arms, the oath asks whether you are willing to serve in the military in a non-fighting capacity — for example, as a medic, chaplain, or in a logistics role. Noncombatant service supports the military without direct involvement in combat. This is an alternative option for those who object to bearing arms.;
37;Part 9;Oath of Allegiance;If the law requires it, are you willing to perform work of national importance under civilian direction?;This is the third option in the oath for those who object to military service entirely. It refers to performing important civilian work — such as in public health, infrastructure, or emergency services — that the U.S. Government designates as critical to the nation. This option is available to those with sincere religious objections to both combat and noncombatant military service.;
