id_number;section;sub_section;question;answer
"72";"1. Questions on American Government";"3. Rights and Responsibilities";"It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.";"Civic duty"
"73";"2. Questions on American History";"4. Colonial Period and Independence";"The colonists came to America for many reasons. Name one.";"Freedom"
"74";"2. Questions on American History";"4. Colonial Period and Independence";"Who lived in America before the Europeans arrived?";"American Indians"
"75";"2. Questions on American History";"4. Colonial Period and Independence";"What group of people was taken and sold as slaves?";"Africans"
"76";"2. Questions on American History";"4. Colonial Period and Independence";"What war did the Americans fight to win independence from Britain?";"American Revolution"
"77";"2. Questions on American History";"4. Colonial Period and Independence";"Name one reason why the Americans declared independence from Britain.";"High taxes"
"78";"2. Questions on American History";"4. Colonial Period and Independence";"Who wrote the Declaration of Independence?";"Jefferson"
"79";"2. Questions on American History";"4. Colonial Period and Independence";"When was the Declaration of Independence adopted?";"July 4, 1776"
"80";"2. Questions on American History";"4. Colonial Period and Independence";"The American Revolution had many important events. Name one.";"Declaration of Independence"
"81";"2. Questions on American History";"4. Colonial Period and Independence";"There were 13 original states. Name five.";"New York, New Jersey, Georgia, Maryland, Virginia"
"82";"2. Questions on American History";"4. Colonial Period and Independence";"What founding document was written in 1787?";"Constitution"
"83";"2. Questions on American History";"4. Colonial Period and Independence";"The Federalist Papers supported the passage of the US Constitution. Name one of the writers.";"Alexander Hamilton"
"84";"2. Questions on American History";"4. Colonial Period and Independence";"Why were the Federalist Papers important?";"They supported passing the Constitution."
"85";"2. Questions on American History";"4. Colonial Period and Independence";"Benjamin Franklin is famous for many things. Name one.";"Founded the first free public libraries"
"86";"2. Questions on American History";"4. Colonial Period and Independence";"George Washington is famous for many things. Name one.";"First president of the US"
"87";"2. Questions on American History";"4. Colonial Period and Independence";"Thomas Jefferson is famous for many things. Name one.";"Writer of the Declaration of Independence"
"88";"2. Questions on American History";"4. Colonial Period and Independence";"James Madison is famous for many things. Name one.";"One of the writers of the Federalist Papers"
"89";"2. Questions on American History";"4. Colonial Period and Independence";"Alexander Hamilton is famous for many things. Name one.";"One of the writers of the Federalist Papers"
"90";"2. Questions on American History";"5. 1800s";"What territory did the US buy from France in 1803?";"Louisiana"
"91";"2. Questions on American History";"5. 1800s";"Name one war fought by the US in the 1800s.";"Civil War"
"92";"2. Questions on American History";"5. 1800s";"Name the US war between the North and the South.";"The Civil War"
"93";"2. Questions on American History";"5. 1800s";"The Civil War had many important events. Name one.";"Emancipation Proclamation"
"94";"2. Questions on American History";"5. 1800s";"Abraham Lincoln is famous for many things. Name one.";"Freed the slaves"
"95";"2. Questions on American History";"5. 1800s";"What did the Emancipation Proclamation do?";"Freed the slaves"
"96";"2. Questions on American History";"5. 1800s";"What US war ended slavery?";"The Civil War"
"97";"2. Questions on American History";"5. 1800s";"What amendment says all persons born or naturalized in the US are US citizens?";"14th Amendment"
"98";"2. Questions on American History";"5. 1800s";"When did all men get the right to vote?";"After the Civil War"
"99";"2. Questions on American History";"5. 1800s";"Name one leader of the women’s rights movement in the 1800s.";"Susan B. Anthony"
"100";"2. Questions on American History";"6. Recent American History";"Name one war fought by the US in the 1900s.";"World War I"
"101";"2. Questions on American History";"6. Recent American History";"Why did the US enter World War I?";"To support the Allied Powers"
"102";"2. Questions on American History";"6. Recent American History";"When did all women get the right to vote?";"After World War I"
"103";"2. Questions on American History";"6. Recent American History";"What was the Great Depression?";"Longest economic recession in modern history"
"104";"2. Questions on American History";"6. Recent American History";"When did the Great Depression start?";"1929"
"105";"2. Questions on American History";"6. Recent American History";"Who was president during the Great Depression and World War II?";"Roosevelt"
"106";"2. Questions on American History";"6. Recent American History";"Why did the US enter World War II?";"To support the Allied Powers"
"107";"2. Questions on American History";"6. Recent American History";"Dwight Eisenhower is famous for many things. Name one.";"General during World War II"
"108";"2. Questions on American History";"6. Recent American History";"Who was the US main rival during the Cold War?";"Soviet Union"
"109";"2. Questions on American History";"6. Recent American History";"During the Cold War, what was one main concern of the US?";"Communism"
"110";"2. Questions on American History";"6. Recent American History";"Why did the US enter the Korean War?";"To stop the spread of communism"
"111";"2. Questions on American History";"6. Recent American History";"Why did the US enter the Vietnam War?";"To stop the spread of communism"
"112";"2. Questions on American History";"6. Recent American History";"What did the civil rights movement do?";"Fought to end racial discrimination"
"113";"2. Questions on American History";"6. Recent American History";"Martin Luther King, Jr. is famous for many things. Name one.";"Fought for civil rights"
"114";"2. Questions on American History";"6. Recent American History";"Why did the US enter the Persian Gulf War?";"To force the Iraqi military from Kuwait"
"115";"2. Questions on American History";"6. Recent American History";"What major event happened on September 11, 2001 in the US?";"Terrorists attacked the US"
"116";"2. Questions on American History";"6. Recent American History";"Name one US military conflict after the September 11, 2001 attacks.";"War in Iraq"
"117";"2. Questions on American History";"6. Recent American History";"Name one American Indian tribe in the US.";"Cherokee"
"118";"2. Questions on American History";"6. Recent American History";"Name one example of an American innovation.";"Landing on the moon"
"119";"3. Questions on Symbols and Holidays";"7. Symbols";"What is the capital of the US?";"Washington, D.C."
"120";"3. Questions on Symbols and Holidays";"7. Symbols";"Where is the Statue of Liberty?";"New York Harbor."
"121";"3. Questions on Symbols and Holidays";"7. Symbols";"Why does the flag have 13 stripes?";"There were 13 original colonies."
"122";"3. Questions on Symbols and Holidays";"7. Symbols";"Why does the flag have 50 stars?";"There are 50 states."
"123";"3. Questions on Symbols and Holidays";"7. Symbols";"What is the national anthem name?";"Star-Spangled Banner."
"124";"3. Questions on Symbols and Holidays";"7. Symbols";"The Nation’s first motto was E Pluribus Unum.";"We all become one"
"125";"3. Questions on Symbols and Holidays";"8. Holidays";"What is Independence Day?";"The country’s birthday."
"126";"3. Questions on Symbols and Holidays";"8. Holidays";"Name three US holidays.";"Independence Day, Thanksgiving and Christmas."
"127";"3. Questions on Symbols and Holidays";"8. Holidays";"What is Memorial Day?";"A holiday to honor soldiers who died in military service."
"128";"3. Questions on Symbols and Holidays";"8. Holidays";"What is Veterans Day?";"A holiday to honor people who have served."
